id	source
cellar_53800	cellar
CL007318	retsinformationdk
wiki_234779	wiki
cellar_13059	cellar
AX019719	retsinformationdk
CL002117	retsinformationdk
cellar_34490	cellar
ai-aktindsigt_108350	ai-aktindsigt
enevaeldens_nyheder_viborg_1849-01-22_1063471	enevaeldens_nyheder
skat_SKM2017.545.LSR	skat
health_hovedstaden_8148	health_hovedstaden
enevaeldens_nyheder_adresseavisen_1762-03-19_1016440	enevaeldens_nyheder
skat_SKM2016.489.SKAT	skat
AX016918	retsinformationdk
kb_administrative_publication_evalueringsrammefor...9092	kb_administrative_publication
cellar_7452	cellar
kb_administrative_publication_kommunernesregnskab...9847	kb_administrative_publication
municipality_meetings_ecfaa...10203	municipality_meetings
CM017282	retsinformationdk
enevaeldens_nyheder_berlingske_1809-10-09_1199034	enevaeldens_nyheder
AE002885	retsinformationdk
cellar_47414	cellar
enevaeldens_nyheder_slagelse_1831-01-04_1069740	enevaeldens_nyheder
CM009097	retsinformationdk
AX022175	retsinformationdk
cellar_31644	cellar
kb_administrative_publication_læringerfraudrulni...11545	kb_administrative_publication
eur-lex-sum-da_295	eur-lex-sum-da
kb_administrative_publication_mulighederforøkolo...969	kb_administrative_publication
cellar_57208	cellar
ai-aktindsigt_68740	ai-aktindsigt
kb_historical_letters_udenrigsministerbar...3897	kb_historical_letters
retspraksis_3751	retspraksis
CQ001208	retsinformationdk
7968	Domsdatabasen
enevaeldens_nyheder_slagelse_1820-03-18_1022120	enevaeldens_nyheder
AX004814	retsinformationdk
ai-aktindsigt_6215	ai-aktindsigt
ai-aktindsigt_110750	ai-aktindsigt
maalfrid_79c53101c89e44ad7fb63528b66169b64d2dce2e_382	ncc_maalfrid
ai-aktindsigt_108520	ai-aktindsigt
enevaeldens_nyheder_thisted_1828-08-08_1012581	enevaeldens_nyheder
health_hovedstaden_22620	health_hovedstaden
skat_SKM2009.451.LSR	skat
CQ000651	retsinformationdk
enevaeldens_nyheder_nsk_1816-01-20_1053633	enevaeldens_nyheder
enevaeldens_nyheder_aalborg1767_1771-01-18_1003717	enevaeldens_nyheder
AX027016	retsinformationdk
enevaeldens_nyheder_nsk_1817-12-30_1065070	enevaeldens_nyheder
CL005693	retsinformationdk
cellar_54894	cellar
